,first 500 eigenvalues
203,(1121.8221206327692+0j)
204,(1119.0035398299303+0j)
205,(1117.403359341691+0j)
206,(1112.1011654538866+0j)
207,(1106.2947801157188+0j)
208,(1102.7777004608004+0j)
209,(1101.3570274054366+0j)
210,(1100.431228682062+0j)
211,(1098.8573606479317+0j)
212,(1095.1745971760474+0j)
213,(1094.0539133178638+0j)
214,(1090.928542940367+0j)
215,(1082.1332387752343+0j)
216,(1079.5388501544023+0j)
217,(1078.3856999563304+0j)
218,(1074.3221554145252+0j)
219,(1071.3191497685573+0j)
220,(1068.1325780325928+0j)
221,(1066.8927969078436+0j)
222,(1065.890991785531+0j)
223,(1060.5671620354924+0j)
224,(1056.20030844904+0j)
225,(1055.247007402215+0j)
226,(1054.8636719604176+0j)
227,(1053.9768803598884+0j)
228,(1050.7914995736578+0j)
229,(1048.4265493927733+0j)
230,(1045.0879222796102+0j)
231,(1040.4275310335315+0j)
232,(1041.6598467307683+0j)
233,(1038.848646979839+0j)
234,(1033.6409620824675+0j)
235,(1033.273291765073+0j)
236,(1032.0638633110796+0j)
237,(1029.2689493079638+0j)
238,(1026.2318731575886+0j)
239,(1022.4718672143166+0j)
240,(1020.8509604408512+0j)
241,(1018.646271672233+0j)
242,(1017.3409301884645+0j)
243,(1014.3466882334055+0j)
244,(1013.5570194403664+0j)
245,(1011.7827426090574+0j)
246,(1010.1081365422638+0j)
247,(1007.8649365942832+0j)
248,(1005.0428083046861+0j)
249,(1002.6976169008292+0j)
250,(999.3713461370729+0j)
251,(997.8038063661221+0j)
252,(995.4686987637931+0j)
253,(993.7163488319427+0j)
254,(990.8180210335911+0j)
255,(986.7964241669462+0j)
256,(984.9484720628001+0j)
257,(984.3426300757045+0j)
258,(981.7302165591752+0j)
259,(977.4114423251444+0j)
260,(975.3570844913102+0j)
261,(974.6225900753651+0j)
262,(969.9691825221649+0j)
263,(967.7282558162408+0j)
264,(968.0549747991353+0j)
265,(965.5961022120539+0j)
266,(964.9156919076158+0j)
267,(962.4001744377367+0j)
268,(956.1027449919425+0j)
269,(954.0488040712565+0j)
270,(952.7590129902248+0j)
271,(950.9273383842079+0j)
272,(948.7133397399848+0j)
273,(945.7780640624133+0j)
274,(945.1377356272026+0j)
275,(943.1251871067382+0j)
276,(942.7151027472772+0j)
277,(940.3886233474902+0j)
278,(937.8449692786019+0j)
279,(935.9983419396088+0j)
280,(934.1048053874513+0j)
281,(932.4292619336697+0j)
282,(931.7081230955447+0j)
283,(930.5564701112995+0j)
284,(927.941497201938+0j)
285,(926.2651573435895+0j)
286,(924.0409718138536+0j)
287,(921.8567119666744+0j)
288,(920.0941901894714+0j)
289,(918.5475369278898+0j)
290,(916.8957872550354+0j)
291,(914.4051667083186+0j)
292,(913.0729733350454+0j)
293,(911.1349206660335+0j)
294,(909.4245778152242+0j)
295,(906.6122206026116+0j)
296,(905.694593189224+0j)
297,(903.1811352018995+0j)
