,first 1000 eigenvalues
0,(67582.38372491454+0j)
1,(23663.602717568272+0j)
2,(9424.00218485637+0j)
3,(6353.204386448041+0j)
4,(6268.762936567981+0j)
5,(5622.345409953007+0j)
6,(5197.09414533397+0j)
7,(5037.763705557961+0j)
8,(4603.358519458178+0j)
9,(4454.597169787732+0j)
10,(4123.9988780560825+0j)
11,(4039.945708654283+0j)
12,(4030.5499169385803+0j)
13,(3721.309429844676+0j)
14,(3529.253685598116+0j)
15,(3461.6733057979704+0j)
16,(3352.225220430658+0j)
17,(3268.1564408498284+0j)
18,(3215.2279990613483+0j)
19,(3094.7519746185317+0j)
20,(3072.6778433545437+0j)
21,(2985.22292071914+0j)
22,(2911.3325315296233+0j)
23,(2868.0511694830907+0j)
24,(2849.8197727184793+0j)
25,(2776.0288806773624+0j)
26,(2743.997491603068+0j)
27,(2687.8329235476754+0j)
28,(2666.0700446893625+0j)
29,(2639.520845826499+0j)
30,(2606.645724138487+0j)
31,(2595.0417400538295+0j)
32,(2553.531261842476+0j)
33,(2520.8878148489516+0j)
34,(2492.504846429378+0j)
35,(2482.558736614427+0j)
36,(2452.7297564661685+0j)
37,(2424.7295271495473+0j)
38,(2409.6745185140035+0j)
39,(2393.996335772375+0j)
40,(2388.208881096625+0j)
41,(2352.6694252059833+0j)
42,(2319.075772907873+0j)
43,(2309.955989142423+0j)
44,(2297.329100138813+0j)
45,(2251.131904602169+0j)
46,(2221.0199462884507+0j)
47,(2224.032375232208+0j)
48,(2205.705650621439+0j)
49,(2196.946492523125+0j)
50,(2189.6613924784515+0j)
51,(2132.911430629485+0j)
52,(2112.266243030419+0j)
53,(2083.769833401992+0j)
54,(2068.868128639618+0j)
55,(2054.3574602716208+0j)
56,(2051.1090321472007+0j)
57,(2042.2647756756116+0j)
58,(2027.697321166685+0j)
59,(2015.9095252961572+0j)
60,(1997.980306709835+0j)
61,(1984.0158499506485+0j)
62,(1959.0286997768605+0j)
63,(1932.4748150461544+0j)
64,(1924.7836574641633+0j)
65,(1920.2872721574447+0j)
66,(1906.6876572699948+0j)
67,(1893.645534787069+0j)
68,(1883.8669212948107+0j)
69,(1879.04885890986+0j)
70,(1866.3548174071193+0j)
71,(1848.5418277406295+0j)
72,(1839.2449112077377+0j)
73,(1824.3431621316201+0j)
74,(1811.378797319717+0j)
75,(1804.681567610626+0j)
76,(1796.0197877761925+0j)
77,(1783.1083696320109+0j)
78,(1783.8232403370919+0j)
79,(1773.6631079029823+0j)
80,(1768.2255936592303+0j)
81,(1763.366222783505+0j)
82,(1751.8373639955112+0j)
83,(1739.9916535420382+0j)
84,(1736.6866646081667+0j)
85,(1730.0678118248738+0j)
86,(1718.0773091021872+0j)
87,(1709.8553593238437+0j)
88,(1701.2508500155182+0j)
89,(1693.6823335716413+0j)
90,(1690.5510001328971+0j)
91,(1684.0584339140833+0j)
92,(1662.5174010337635+0j)
93,(1656.6534154380843+0j)
94,(1651.4135078426145+0j)
95,(1647.1505953205503+0j)
96,(1638.5058710112519+0j)
97,(1626.1880472065034+0j)
98,(1620.1130890483935+0j)
99,(1613.0344573183559+0j)
100,(1609.0981679220272+0j)
101,(1595.965268811214+0j)
102,(1591.7876230788172+0j)
103,(1587.6911793913184+0j)
104,(1585.9202017663972+0j)
105,(1575.2742197475065+0j)
106,(1567.4108398181957+0j)
107,(1561.1160743317723+0j)
108,(1555.5491009757213+0j)
109,(1548.8911931151763+0j)
110,(1539.9165086593025+0j)
111,(1533.997935701958+0j)
112,(1521.6097377775482+0j)
113,(1515.8136221289417+0j)
114,(1506.80311772708+0j)
115,(1503.7170131032938+0j)
116,(1500.9955145954734+0j)
117,(1497.3121383834007+0j)
118,(1485.7211398487802+0j)
119,(1484.6364140377696+0j)
120,(1479.6934226634148+0j)
121,(1475.958602565904+0j)
122,(1471.1089821325675+0j)
123,(1461.6596295352037+0j)
124,(1457.013872537052+0j)
125,(1451.3650864784756+0j)
126,(1446.3499409253964+0j)
127,(1442.769155139837+0j)
128,(1437.8932456470918+0j)
129,(1427.6661454547882+0j)
130,(1421.8464203800856+0j)
131,(1413.1490244615584+0j)
132,(1409.4424997228298+0j)
133,(1401.493552644951+0j)
134,(1398.3403828466248+0j)
135,(1395.1804252409913+0j)
136,(1389.893106473048+0j)
137,(1386.5019564796348+0j)
138,(1384.7780899719871+0j)
139,(1375.5669148752474+0j)
140,(1373.6010403204195+0j)
141,(1368.1717936447897+0j)
142,(1366.2598373951835+0j)
143,(1359.675237950545+0j)
144,(1355.2028500983804+0j)
145,(1352.0065300067174+0j)
146,(1342.9769352862763+0j)
147,(1338.7481527076154+0j)
148,(1331.6196032092844+0j)
149,(1326.7373034401933+0j)
150,(1322.6321743037322+0j)
151,(1318.5289188248319+0j)
152,(1314.2348222899798+0j)
153,(1312.8458126787716+0j)
154,(1308.765180701291+0j)
155,(1304.7864732184228+0j)
156,(1301.0548104958923+0j)
157,(1297.4995078323393+0j)
158,(1294.0033569125483+0j)
159,(1288.934966199356+0j)
160,(1287.6390953721154+0j)
161,(1283.502064375571+0j)
162,(1275.8080974815484+0j)
163,(1269.306772266386+0j)
164,(1266.2559333626273+0j)
165,(1265.210204610354+0j)
166,(1262.558499902472+0j)
167,(1259.303995952983+0j)
168,(1251.340057028785+0j)
169,(1246.0048021363755+0j)
170,(1244.8892427335413+0j)
171,(1239.8312220052685+0j)
172,(1236.956360212729+0j)
173,(1236.1884172086773+0j)
174,(1226.3447467427914+0j)
175,(1224.0406857315998+0j)
176,(1218.4153850934638+0j)
177,(1217.5120943942215+0j)
178,(1213.6770468768827+0j)
179,(1207.1422368752303+0j)
180,(1204.2622773474866+0j)
181,(1199.2924812502195+0j)
182,(1197.4218982436194+0j)
183,(1189.1609803611923+0j)
184,(1188.0706505814853+0j)
185,(1186.0202861418802+0j)
186,(1184.6802047439612+0j)
187,(1181.3491753604992+0j)
188,(1174.9827884654974+0j)
189,(1169.4287903500442+0j)
190,(1166.7514290160154+0j)
191,(1163.504293217357+0j)
192,(1159.6083724706464+0j)
193,(1151.9202068435811+0j)
194,(1152.3299430394125+0j)
195,(1147.3423813387221+0j)
196,(1143.5966678331706+0j)
197,(1141.58850383402+0j)
198,(1136.2266667768756+0j)
199,(1133.3727495800042+0j)
200,(1129.7686277213045+0j)
201,(1128.1892081939197+0j)
202,(1124.6754239378363+0j)
203,(1121.8221206328105+0j)
204,(1119.0035398299735+0j)
205,(1117.4033593417057+0j)
206,(1112.101165453924+0j)
207,(1106.2947801157445+0j)
208,(1102.7777004607933+0j)
209,(1101.357027405439+0j)
210,(1100.431228682075+0j)
